yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx
197508,86.88,3.7100,7.8267,0.8942466541,0.0644,0.0895,0.1059,0.0844,0.0263663778,0.004800,0.0018450185,-0.0068,-0.0175,0.0023431364,-0.0015740132,-0.015663,-0.021731
197509,83.87,3.7100,7.7600,0.9409482541,0.0642,0.0895,0.1061,0.0862,0.0279195234,0.005300,0.0055248619,-0.0098,-0.0126,0.0023046248,-0.0014922567,-0.032250,-0.034226
197510,89.04,3.7000,7.8267,0.8934979188,0.0596,0.0886,0.1062,0.0819,0.0258984580,0.005600,0.0054945055,0.0475,0.0553,0.0021545816,-0.0015430243,0.064855,0.062135
197511,91.24,3.6900,7.8933,0.8679284743,0.0548,0.0878,0.1056,0.0838,0.0246224796,0.004100,0.0072859745,-0.0109,-0.0088,0.0008126854,-0.0016529119,0.030089,0.023996
197512,90.19,3.6800,7.9600,0.8763388510,0.0544,0.0879,0.1056,0.0805,0.0237119656,0.004800,0.0036166365,0.0390,0.0442,0.0013307999,-0.0004651156,-0.010485,-0.012296
197601,100.86,3.6833,8.1933,0.7659338857,0.0487,0.0860,0.1041,0.0802,0.0218521822,0.004700,0.0018018018,0.0090,0.0188,0.0019782826,-0.0001102926,0.120143,0.118545
197602,99.71,3.6867,8.4267,0.7680365203,0.0488,0.0855,0.1024,0.0802,0.0222330928,0.003400,0.0035971223,0.0062,0.0061,0.0012214388,-0.0001707836,-0.005756,-0.011620
197603,102.77,3.6900,8.6600,0.7840312172,0.0500,0.0852,0.1012,0.0792,0.0150721313,0.004000,0.0017921147,0.0166,0.0167,0.0012657161,-0.0004387984,0.032640,0.030786
197604,101.64,3.7133,8.8567,0.7860761398,0.0486,0.0840,0.0994,0.0797,0.0142394847,0.004200,0.0035778175,0.0018,-0.0015,0.0010071323,-0.0013534097,-0.009610,-0.010699
197605,100.18,3.7367,9.0533,0.8035027635,0.0520,0.0858,0.0986,0.0821,0.0141483212,0.003700,0.0071301248,-0.0158,-0.0103,0.0009364703,-0.0010527004,-0.008116,-0.015026
197606,104.28,3.7600,9.2500,0.7814276312,0.0541,0.0862,0.0989,0.0807,0.0189250313,0.004300,0.0053097345,0.0208,0.0150,0.0009715815,-0.0012775825,0.043959,0.042158
197607,103.44,3.7900,9.3500,0.7958238544,0.0523,0.0856,0.0982,0.0805,0.0188427707,0.004700,0.0052816901,0.0078,0.0149,0.0004871522,-0.0014411039,-0.007202,-0.008454
197608,102.91,3.8200,9.4500,0.8047322694,0.0514,0.0845,0.0964,0.0790,0.0206295275,0.004200,0.0052539405,0.0211,0.0231,0.0007445224,-0.0012977566,0.001599,-0.004982
